Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000171293008741648,-0.00201210398991662,1.00015694989532E-06,0,0,0,2.65529470882075,0.00561601231998653,6.82580680646412E-07,3.81296987544646E-08,0.0181701862213133,-9.44052108733001E-08,0.0182325120876336,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/base_link.STL,,外壳2-1;腿3-1/小米关节电机-2;腿3-1/小米关节电机-1;腿3-4/小米关节电机-1;腿3-4/小米关节电机-2;腿3-2/小米关节电机-1;腿3-2/小米关节电机-2;腿3-3/小米关节电机-1;腿3-3/小米关节电机-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_lff,0.03499962282119,3.56169768522099E-07,0.00107062595538129,0,0,0,0.0297227295562525,2.90602254522781E-06,1.57688923577065E-10,1.78460587600233E-06,3.59802742711429E-05,-3.41745531194127E-11,3.78491600998586E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lff.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lff.STL,,腿3-1/大腿-1;腿3-1/大腿碳板1mm-1;腿3-1/滚针轴承 5x15x4-2,Origin_Joint_lff,,Joint_lff,revolute,-0.19,-0.107,0,1.5708,0,3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
Link_lff_1,0.133123962371046,-4.56626021907991E-06,-0.0110230121178958,0,0,0,0.105842321084099,2.26046614236556E-05,6.18910439734662E-08,-2.06445588467179E-07,0.000161609916352236,-4.87043944671223E-21,0.000167304461153556,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lff_1.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lff_1.STL,,腿3-1/小腿外板后-1;腿3-1/小腿内板后-1;腿3-1/小腿夹板打印件-1;腿3-1/后小腿电机打印件-1;腿3-1/电机外打印件-1;腿3-1/无刷减速电机XD37GB3525 12V 200RPM-1,Origin_Joint_lff_1,,Joint_lff_1,revolute,0.09,0,-0.016,3.1416,0,-2.5192,Link_lff,0,0,0,0,0,0,0,,,,,,,,
Link_Wheel_lf,-8.95796462853371E-06,8.95827073271738E-06,-0.000199260270533103,0,0,0,0.0504914646640277,3.79982876676201E-05,-4.0578134148444E-12,-3.5283520549697E-09,3.7998287913547E-05,3.52839981951167E-09,7.4569158518781E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_Wheel_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_Wheel_lf.STL,,腿3-1/轮95mm-2,Origin_Joint_Wheel_lf,,Joint_Wheel_lf,continuous,0.167,0,0.0207,0,0,-0.10851,Link_lff_1,0,0,0,,,,,,,,,,,,
Link_lfb,0.0349996228211899,3.56169378020061E-07,0.00107062595538129,0,0,0,0.0297227295562525,2.90602254522781E-06,1.57688923549976E-10,1.78460587600234E-06,3.59802742711429E-05,-3.4174553121315E-11,3.78491600998587E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lfb.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lfb.STL,,腿3-1/大腿-2;腿3-1/大腿碳板1mm-2;腿3-1/滚针轴承 5x15x4-3,Origin_Joint_lfb,,Joint_lfb,revolute,-0.11,-0.107,0,-1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Link_lfb_1,-0.0724741982972868,-0.0649347547647483,-0.00202339816036047,0,0,0,0.0636556060708701,3.31328110865925E-05,-2.67282746592908E-05,-5.14546133679027E-20,3.90167021624517E-05,-4.62118247009887E-20,7.2028308602733E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lfb_1.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_lfb_1.STL,,腿3-1/小腿夹板打印件-2;腿3-1/小腿前-2;腿3-1/小腿前-1;腿3-1/小腿前打印件大-2;腿3-1/小腿前打印件小-3;腿3-1/小腿电机固定板-1;腿3-1/小腿电机固定打印件-1;腿3-1/小腿电机固定板-2;腿3-1/滚针轴承 40x60x5-1,Origin_Joint_lfb_1,,Joint_lfb_1,revolute,0.09,0,-0.011,3.1416,0,0.10822,Link_lfb,0,0,0,0,0,0,0,,,,,,,,
Link_rff,0.0349996228211899,3.56169372107645E-07,0.00107062595538124,0,0,0,0.0297227295562525,2.90602254522782E-06,1.57688923561342E-10,1.78460587600242E-06,3.59802742711429E-05,-3.41745531207639E-11,3.78491600998586E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rff.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rff.STL,,腿3-4/大腿-2;腿3-4/大腿碳板1mm-2;腿3-4/滚针轴承 5x15x4-3,Origin_Joint_rff,,Joint_rff,revolute,-0.19,0.107,0,-1.5708,0,3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
Link_rff_1,0.0973089502316796,-1.65562008547226E-13,-0.0070233981603605,0,0,0,0.0636556060708701,9.18506138990417E-06,-3.04931861011547E-20,1.71906601393186E-19,6.29644518591399E-05,5.78099753446853E-21,7.20283086027331E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rff_1.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rff_1.STL,,腿3-4/小腿前-2;腿3-4/小腿前-1;腿3-4/小腿夹板打印件-2;腿3-4/小腿前打印件大-2;腿3-4/小腿前打印件小-3;腿3-4/小腿电机固定打印件-1;腿3-4/小腿电机固定板-1;腿3-4/小腿电机固定板-2;腿3-4/滚针轴承 40x60x5-1,Origin_Joint_rff_1,,Joint_rff_1,revolute,0.09,0,-0.016,-3.1416,0,2.5192,Link_rff,0,0,0,0,0,0,0,,,,,,,,
Link_rfb,0.0349996228211899,3.5616977173624E-07,0.00107062595538134,0,0,0,0.0297227295562525,2.90602254522781E-06,1.57688923704764E-10,1.78460587600232E-06,3.59802742711429E-05,-3.4174553119217E-11,3.78491600998587E-05,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rfb.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rfb.STL,,腿3-4/大腿-1;腿3-4/大腿碳板1mm-1;腿3-4/滚针轴承 5x15x4-2,Origin_Joint_rfb,,Joint_rfb,revolute,-0.11,0.107,0,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Link_rfb_1,0.133123962371046,-4.56626021822643E-06,-0.00402301211789559,0,0,0,0.105842321084099,2.26046614236556E-05,6.18910439731018E-08,-2.06445588467416E-07,0.000161609916352235,-9.66636271298472E-21,0.000167304461153556,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rfb_1.STL,1,1,1,1,0,0,0,0,0,0,package://ustb_doggo_urdf/meshes/Link_rfb_1.STL,,腿3-4/小腿内板后-1;腿3-4/小腿外板后-1;腿3-4/小腿夹板打印件-1;腿3-4/后小腿电机打印件-1;腿3-4/电机外打印件-1;腿3-4/无刷减速电机XD37GB3525 12V 200RPM-1,Origin_Joint_rfb_1,,Joint_rfb_1,revolute,0.09,0,-0.009,-3.1416,0,-2.5192,Link_rfb,0,0,0,0,0,0,0,,,,,,,,
